,P1,H1,P2,D1,D2,P3,D3,D4,D5,D6,D7,P4,D8,P5
P1,0.0,2720.0,7426.0,8255.958333333334,8439.0,9683.958333333334,14744.0,21394.958333333332,22410.0,22439.314537037037,22523.458645833332,22528.958333333332,30387.760474537037,30679.958333333332
H1,-2720.0,0.0,4706.0,5535.958333333333,5719.0,6963.958333333333,12024.0,18674.958333333332,19690.0,19719.314537037037,19803.458645833332,19808.958333333332,27667.760474537037,27959.958333333332
P2,-7426.0,-4706.0,0.0,829.9583333333334,1013.0,2257.9583333333335,7318.0,13968.958333333334,14984.0,15013.314537037037,15097.458645833334,15102.958333333334,22961.760474537037,23253.958333333332
D1,-8255.958333333334,-5535.958333333333,-829.9583333333334,0.0,183.04166666666666,1428.0,6488.041666666667,13139.0,14154.041666666666,14183.356203703705,14267.5003125,14273.0,22131.802141203705,22424.0
D2,-8439.0,-5719.0,-1013.0,-183.04166666666666,0.0,1244.9583333333333,6305.0,12955.958333333334,13971.0,14000.314537037037,14084.458645833334,14089.958333333334,21948.760474537037,22240.958333333332
P3,-9683.958333333334,-6963.958333333333,-2257.9583333333335,-1428.0,-1244.9583333333333,0.0,5060.041666666667,11711.0,12726.041666666666,12755.356203703705,12839.5003125,12845.0,20703.802141203705,20996.0
D3,-14744.0,-12024.0,-7318.0,-6488.041666666667,-6305.0,-5060.041666666667,0.0,6650.958333333333,7666.0,7695.314537037037,7779.458645833333,7784.958333333333,15643.760474537037,15935.958333333334
D4,-21394.958333333332,-18674.958333333332,-13968.958333333334,-13139.0,-12955.958333333334,-11711.0,-6650.958333333333,0.0,1015.0416666666666,1044.3562037037036,1128.5003125,1134.0,8992.802141203703,9285.0
D5,-22410.0,-19690.0,-14984.0,-14154.041666666666,-13971.0,-12726.041666666666,-7666.0,-1015.0416666666666,0.0,29.314537037037038,113.45864583333334,118.95833333333333,7977.760474537037,8269.958333333334
D6,-22439.314537037037,-19719.314537037037,-15013.314537037037,-14183.356203703705,-14000.314537037037,-12755.356203703705,-7695.314537037037,-1044.3562037037036,-29.314537037037038,0.0,84.1441087962963,89.6437962962963,7948.4459375,8240.643796296295
D7,-22523.458645833332,-19803.458645833332,-15097.458645833334,-14267.5003125,-14084.458645833334,-12839.5003125,-7779.458645833333,-1128.5003125,-113.45864583333334,-84.1441087962963,0.0,5.4996875,7864.301828703704,8156.4996875
P4,-22528.958333333332,-19808.958333333332,-15102.958333333334,-14273.0,-14089.958333333334,-12845.0,-7784.958333333333,-1134.0,-118.95833333333333,-89.6437962962963,-5.4996875,0.0,7858.802141203703,8151.0
D8,-30387.760474537037,-27667.760474537037,-22961.760474537037,-22131.802141203705,-21948.760474537037,-20703.802141203705,-15643.760474537037,-8992.802141203703,-7977.760474537037,-7948.4459375,-7864.301828703704,-7858.802141203703,0.0,292.1978587962963
P5,-30679.958333333332,-27959.958333333332,-23253.958333333332,-22424.0,-22240.958333333332,-20996.0,-15935.958333333334,-9285.0,-8269.958333333334,-8240.643796296295,-8156.4996875,-8151.0,-292.1978587962963,0.0
