,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,65705,641672105,836759705,1273947305,1946567705,2650814105,713380505,729195305,1848590105,1936289705,1938822481,1946092532,1963205562,2625568210
RPI Graduation,-641540695,65705,195153305,632340905,1304961305,2009207705,71774105,87588905,1206983705,1294683305,1297216081,1304486132,1321599162,1983961810
Significant Date,-836628295,-195021895,65705,437253305,1109873705,1814120105,-123313495,-107498695,1011896105,1099595705,1102128481,1109398532,1126511562,1788874210
IBM Promotion,-1273815895,-632209495,-437121895,65705,672686105,1376932505,-560501095,-544686295,574708505,662408105,664940881,672210932,689323962,1351686610
IBM Retirement,-1946436295,-1304829895,-1109742295,-672554695,65705,704312105,-1233121495,-1217306695,-97911895,-10212295,-7679519,-409468,16703562,679066210
Passing,-2650682695,-2009076295,-1813988695,-1376801095,-704180695,65705,-1937367895,-1921553095,-802158295,-714458695,-711925919,-704655868,-687542838,-25180190
Grumman Report,-713249095,-71642695,123444905,560632505,1233252905,1937499305,65705,15880505,1135275305,1222974905,1225507681,1232777732,1249890762,1912253410
Report Revision,-729063895,-87457495,107630105,544817705,1217438105,1921684505,-15749095,65705,1119460505,1207160105,1209692881,1216962932,1234075962,1896438610
Patent Filing,-1848458695,-1206852295,-1011764695,-574577095,98043305,802289705,-1135143895,-1119329095,65705,87765305,90298081,97568132,114681162,777043810
Patent Issue,-1936158295,-1294551895,-1099464295,-662276695,10343705,714590105,-1222843495,-1207028695,-87633895,65705,2598481,9868532,26981562,689344210
Higuchi Comm,-1938691071,-1297084671,-1101997071,-664809471,7810929,712057329,-1225376271,-1209561471,-90166671,-2467071,65705,7335756,24448786,686811434
Doi Comm,-1945961122,-1304354722,-1109267122,-672079522,540878,704787278,-1232646322,-1216831522,-97436722,-9737122,-7204346,65705,17178735,679541383
Final Liaison,-1963074152,-1321467752,-1126380152,-689192552,-16572152,687674248,-1249759352,-1233944552,-114549752,-26850152,-24317376,-17047325,65705,662428353
Genesis Block,-2625436800,-1983830400,-1788742800,-1351555200,-678934800,25311600,-1912122000,-1896307200,-776912400,-689212800,-686680024,-679409973,-662296943,65705
