,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,0,641606400,836694000,42875095,715495495,188735390,713314800,729129600,617517895,705217495,707750271,715020322,732133352,163489495
RPI Graduation,589400105,0,195087600,632275200,73889095,778135495,71708400,87523200,1206918000,63611095,66143871,73413922,90526952,752889600
Significant Date,394312505,1035918905,0,437187600,1109808000,583047895,1107627305,1123442105,1011830400,1099530000,1102062776,1109332827,1126445857,557802000
IBM Promotion,1188131410,598731305,793818905,0,672620400,145860295,670439705,686254505,574642800,662342400,664875176,672145227,689258257,120614400
IBM Retirement,515511010,1157117410,121198505,558386105,0,704246400,1228825810,13634105,1133028905,1220728505,1223261281,1230531332,16637857,679000505
Passing,1042271115,452871010,647958610,1085146210,526760105,0,524579410,540394210,428782505,516482105,519014881,526284932,543397962,1205760610
Grumman Report,517691705,1159298105,123379200,560566800,2180695,706427095,0,15814800,1135209600,1222909200,1225441976,1705522,18818552,681181200
Report Revision,501876905,1143483305,107564400,544752000,1217372400,690612295,1215191705,0,1119394800,1207094400,1209627176,1216897227,3003752,665366400
Patent Filing,613488610,24088505,219176105,656363705,97977600,802224000,95796905,111611705,0,87699600,90232376,97502427,114615457,776978105
Patent Issue,525789010,1167395410,131476505,568664105,10278000,714524400,8097305,23912105,1143306905,0,2532776,9802827,26915857,689278505
Higuchi Comm,523256234,1164862634,128943729,566131329,7745224,711991624,5564529,21379329,1140774129,1228473729,0,7270051,24383081,686745729
Doi Comm,515986183,1157592583,121673678,558861278,475173,704721573,1229300983,14109278,1133504078,1221203678,1223736454,0,17113030,679475678
Final Liaison,498873153,1140479553,104560648,541748248,1214368648,687608543,1212187953,1228002753,1116391048,1204090648,1206623424,1213893475,0,662362648
Genesis Block,1067517010,478116905,673204505,1110392105,552006000,25245895,549825305,565640105,454028400,541728000,544260776,551530827,568643857,0
