,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,-65705,641540695,836628295,1273815895,1946436295,2650682695,713249095,729063895,1848458695,1936158295,1938691071,1945961122,1963074152,2625436800
RPI Graduation,-641672105,-65705,195021895,632209495,1304829895,2009076295,71642695,87457495,1206852295,1294551895,1297084671,1304354722,1321467752,1983830400
Significant Date,-836759705,-195153305,-65705,437121895,1109742295,1813988695,-123444905,-107630105,1011764695,1099464295,1101997071,1109267122,1126380152,1788742800
IBM Promotion,-1273947305,-632340905,-437253305,-65705,672554695,1376801095,-560632505,-544817705,574577095,662276695,664809471,672079522,689192552,1351555200
IBM Retirement,-1946567705,-1304961305,-1109873705,-672686105,-65705,704180695,-1233252905,-1217438105,-98043305,-10343705,-7810929,-540878,16572152,678934800
Passing,-2650814105,-2009207705,-1814120105,-1376932505,-704312105,-65705,-1937499305,-1921684505,-802289705,-714590105,-712057329,-704787278,-687674248,-25311600
Grumman Report,-713380505,-71774105,123313495,560501095,1233121495,1937367895,-65705,15749095,1135143895,1222843495,1225376271,1232646322,1249759352,1912122000
Report Revision,-729195305,-87588905,107498695,544686295,1217306695,1921553095,-15880505,-65705,1119329095,1207028695,1209561471,1216831522,1233944552,1896307200
Patent Filing,-1848590105,-1206983705,-1011896105,-574708505,97911895,802158295,-1135275305,-1119460505,-65705,87633895,90166671,97436722,114549752,776912400
Patent Issue,-1936289705,-1294683305,-1099595705,-662408105,10212295,714458695,-1222974905,-1207160105,-87765305,-65705,2467071,9737122,26850152,689212800
Higuchi Comm,-1938822481,-1297216081,-1102128481,-664940881,7679519,711925919,-1225507681,-1209692881,-90298081,-2598481,-65705,7204346,24317376,686680024
Doi Comm,-1946092532,-1304486132,-1109398532,-672210932,409468,704655868,-1232777732,-1216962932,-97568132,-9868532,-7335756,-65705,17047325,679409973
Final Liaison,-1963205562,-1321599162,-1126511562,-689323962,-16703562,687542838,-1249890762,-1234075962,-114681162,-26981562,-24448786,-17178735,-65705,662296943
Genesis Block,-2625568210,-1983961810,-1788874210,-1351686610,-679066210,25180190,-1912253410,-1896438610,-777043810,-689344210,-686811434,-679541383,-662428353,-65705
