,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,354056037746,353418102386,353776732802,352800702834,352647063042,356257714306,353360032898,353329727474,352209099522,352657738354,352672641498,352667330105,352629900899,356266252379
RPI Graduation,-353418102670,354056037746,353877797250,353442309234,352768574722,352600684418,353984859010,353971280626,352868007426,352762472818,352761058522,352772261177,352751936867,352612892507
Significant Date,-353776732830,-353877797278,354056037746,354157367650,352946763506,352241984370,-353935882382,-353949657118,353582787570,352974477922,352972849610,352950515241,352930125395,352287811659
IBM Promotion,-352800704142,-353442309518,-354157367678,354056037746,353386183170,353218278530,-353496725374,-353514431502,353481408258,353396911730,353408079322,353386003001,353369545315,353260174427
IBM Retirement,-352647063070,-352768574750,-352946763278,-353386183198,354056037746,353371920370,-352839701518,-352857212318,-353977590158,-354066280734,-354050919350,-354056217943,354060057299,353380261067
Passing,-356257714334,-352600684446,-352241983630,-353218278558,-353371920142,354056037746,-352658687630,-352689321502,-353272762894,-353360978846,-353346143286,-353351456727,-353388885933,-354047712693
Grumman Report,-353360032926,-353984859038,353935883122,353496725346,352839701746,352658686322,354056037746,354059236834,352938854898,352850442338,352831711178,352826676265,352809956435,352700845643
Report Revision,-353329727246,-353971280398,353949657090,353514431730,352857212290,352689321474,-354059236862,354056037746,352956644994,352867887602,352849696602,352856966585,352840574435,352697597915
Patent Filing,-352209099550,-352868007454,-353582787342,-353481408286,353977589874,353272763122,-352938854670,-352956645022,354056037746,353971492322,353965880138,353977082281,353960886739,353280842699
Patent Issue,-352657738638,-352762474126,-352974477950,-353396912014,354066280706,353360978818,-352850442366,-352867887374,-353971492350,354056037746,354054095066,354065838393,354049118563,353369582427
Higuchi Comm,-352672641494,-352761058518,-352972849606,-353408079318,354050919354,353346143290,-352831711174,-352849696598,-353965880134,-354054095062,354056037746,354050411473,354034281243,353387711987
Doi Comm,-352667330105,-352772261177,-352950515241,-353386003001,354056217943,353351456727,-352826676265,-352856966585,-353977082281,-354065838393,-354050411473,354056037746,354039593652,353380441260
Final Liaison,-352629900899,-352751936867,-352930125395,-353369545315,-354060057299,353388885933,-352809956435,-352840574435,-353960886739,-354049118563,-354034281243,-354039593656,354056037746,353396899690
Genesis Block,-356266252379,-352612892507,-352287811659,-353260174427,-353380261067,354047712693,-352700845643,-352697597915,-353280842699,-353369582427,-353387711987,-353380441264,-353396899686,354056037746
