,Birth,RPI Graduation,Significant Date,IBM Promotion,IBM Retirement,Passing,Grumman Report,Report Revision,Patent Filing,Patent Issue,Higuchi Comm,Doi Comm,Final Liaison,Genesis Block
Birth,499364361337,499865704313,500190780297,498476421241,499028473609,501866316169,500077110665,500080236281,498925128201,499139419001,499153658065,499148486450,499045390184,501841299792
RPI Graduation,-499865704071,499364361337,499555219593,499856225657,498378232841,499083273865,499292658313,499312495609,498276986633,498371737721,498371364305,498380870706,498395149416,499060354640
Significant Date,-500190780311,-499555219607,499364361337,499799654505,498321663993,498892485241,-499343812999,-499323910423,500231584505,498315168617,498314727617,498324236066,498338580312,499003717952
IBM Promotion,-498476423047,-499856225415,-499799654519,499364361337,500036021001,498593572233,-499911157367,-499895448839,499930574345,499878592377,499890668753,500036496178,500052937576,498568490320
IBM Retirement,-499028473623,-498378232855,-498321663751,-500036021015,499364361337,500054787833,-498450007303,-498432267415,-499318812807,-499373023255,-499358718655,-499363886174,499366669272,500029705664
Passing,-501866316183,-499083273879,-498892484999,-498593572247,-500054787591,499364361337,-499140368263,-499137308439,-500023919367,-500078064279,-500063753535,-500068927198,-500037805736,-499389451456
Grumman Report,-500077110679,-499292658327,499343813241,499911157353,498450007545,499140366457,499364361337,499367421161,498346662137,498426669417,498440976065,498435802402,498452243800,499115286336
Report Revision,-500080236039,-499312495367,499323910409,499895449081,498432267401,499137308425,-499367421175,499364361337,498331021193,498276874489,498425267793,498432677042,498449183976,499112160976
Patent Filing,-498925128215,-498276986647,-500231584263,-499930574359,499318813049,500023919609,-498346661895,-498331021207,499364361337,499312313577,499307749953,499317256354,499335794904,499996740288
Patent Issue,-499139418759,-498371739527,-498315168631,-499878592135,499373023241,500078064265,-498426669431,-498276874247,-499312313591,499364361337,499361894865,499373498418,499389939816,500052982352
Higuchi Comm,-499153658079,-498371364319,-498314727631,-499890668767,499358718641,500063753521,-498440976079,-498425267807,-499307749967,-499361894879,499364361337,499357162202,499375634960,500036639992
Doi Comm,-499148486452,-498380870708,-498324236068,-500036496180,499363886172,500068927196,-498435802404,-498432677044,-499317256356,-499373498420,-499357162204,499364361337,499380808639,500029230503
Final Liaison,-499045390186,-498395149418,-498338580314,-500052937578,-499366669274,500037805734,-498452243802,-498449183978,-499335794906,-499389939818,-499375634962,-499380808637,499364361337,499878571617
Genesis Block,-501841299794,-499060354642,-499003717954,-498568490322,-500029705666,499389451454,-499115286338,-499112160978,-499996740290,-500052982354,-500036639994,-500029230501,-499878571631,499364361337
